stat,player,line,over,under
receptions,Chris Bell,1.5,-137,107
rushing_yards,Christian McCaffrey,62.5,-113,-111
rushing_yards,De'Von Achane,61.5,-110,-114
rushing_yards,Malik Willis,37.5,-116,-108
rushing_yards,Kaelon Black,37.5,-114,-110
rushing_yards,Brock Purdy,13.5,-117,-107
rushing_yards,Deebo Samuel,6.5,-106,-119
passing_tds,Patrick Mahomes,1.5,-115,-111
passing_tds,Daniel Jones,1.5,168,-217
passing_yards,Patrick Mahomes,220.5,-113,-111
passing_yards,Daniel Jones,216.5,-112,-112
receiving_yards,Rashee Rice,52.5,-113,-111
receiving_yards,Alec Pierce,44.5,-110,-114
receiving_yards,Tyler Warren,43.5,-109,-115
receiving_yards,Josh Downs,42.5,-109,-115
receiving_yards,Travis Kelce,41.5,-110,-114
receiving_yards,Xavier Worthy,38.5,-115,-109
receiving_yards,Keenan Allen,29.5,-112,-112
receiving_yards,Kenneth Walker III,21.5,-109,-115
receiving_yards,Tyquan Thornton,16.5,-116,-108
receiving_yards,Jonathan Taylor,16.5,-107,-118
receiving_yards,Noah Gray,11.5,-107,-117
receiving_yards,Emmett Johnson,8.5,-112,-112
receptions,Rashee Rice,4.5,-139,109
receptions,Tyler Warren,4.5,-131,103
receptions,Josh Downs,4.5,128,-164
receptions,Travis Kelce,3.5,-140,110
receptions,Keenan Allen,3.5,-119,-107
receptions,Xavier Worthy,3.5,106,-135
receptions,Kenneth Walker III,3.5,122,-156
receptions,Alec Pierce,2.5,-172,134
receptions,Jonathan Taylor,2.5,-115,-111
receptions,Tyquan Thornton,1.5,133,-171
receptions,Noah Gray,1.5,153,-197
rushing_yards,Jonathan Taylor,84.5,-110,-114
rushing_yards,Kenneth Walker III,82.5,-114,-110
rushing_yards,Emmett Johnson,18.5,-115,-109
rushing_yards,Patrick Mahomes,18.5,-108,-116
rushing_yards,Daniel Jones,8.5,-108,-116
