player_name,season,mp,raptor_offense,raptor_defense
Jarron Cumberland,2022,12,3.73,-9.45
Cade Cunningham,2022,2088,-1.24,-0.43
Seth Curry,2020,1749,2.73,-2.63
Seth Curry,2021,2019,2.37,-2.12
Seth Curry,2022,2267,1.32,-1.05
Stephen Curry,2020,139,6.4,-1.46
Stephen Curry,2021,2152,8.74,-1.94
Stephen Curry,2022,2975,6.24,0.55
Troy Daniels,2020,562,-1.06,-1.71
Nate Darling,2021,26,-5.96,-7.93
Anthony Davis,2020,2900,3.08,4.35
Anthony Davis,2021,1306,0.99,2.72
Anthony Davis,2022,1404,-0.34,2.79
Ed Davis,2020,303,-4.68,-0.19
Ed Davis,2021,299,-3.32,-2.54
Ed Davis,2022,201,-4.27,1.3
Terence Davis,2020,1293,1.64,0.27
Terence Davis,2021,1074,-0.49,-1.88
Terence Davis,2022,536,1.96,0.28
Gabriel Deck,2021,212,1.08,-2.44
Gabriel Deck,2022,56,-2.46,-3.04
Dewayne Dedmon,2020,774,-5.36,3.37
Dewayne Dedmon,2021,267,1.87,-1.24
Dewayne Dedmon,2022,1203,-2.31,0.65
Sam Dekker,2022,1,-31.57,-35.78
Javin DeLaurier,2022,3,11.94,2.81
Matthew Dellavedova,2020,821,-1.73,2.56
Matthew Dellavedova,2021,224,-1.42,-4.37
DeMar DeRozan,2020,2316,2.77,-2.67
DeMar DeRozan,2021,2056,3.56,-2.93
DeMar DeRozan,2022,2946,3.65,-2.28
Mamadi Diakite,2021,176,-4.03,2.67
Mamadi Diakite,2022,188,-4.88,1.89
Cheick Diallo,2020,479,-1.98,1.21
Cheick Diallo,2022,31,-8.03,-5.1
Hamidou Diallo,2020,921,-3.92,2.73
Hamidou Diallo,2021,1226,-0.96,0.09
Hamidou Diallo,2022,1269,-0.88,1.29
Gorgui Dieng,2020,1096,-2.87,5.23
Gorgui Dieng,2021,552,0.94,-1.07
Gorgui Dieng,2022,381,-1.73,1.03
Spencer Dinwiddie,2020,1994,3.36,-2.17
Spencer Dinwiddie,2021,64,-2.0,4.38
Spencer Dinwiddie,2022,2481,1.88,-0.48
Donte DiVincenzo,2020,1685,0.55,2.51
Donte DiVincenzo,2021,1884,0.38,0.42
Donte DiVincenzo,2022,1006,-1.96,1.2
Luka Doncic,2020,2262,7.4,-1.07
Luka Doncic,2021,2543,6.64,-0.79
Luka Doncic,2022,2853,5.74,0.64
Luguentz Dort,2020,995,-2.72,3.6
Luguentz Dort,2021,1543,-1.79,3.86
Luguentz Dort,2022,1665,-1.4,1.19
Ayo Dosunmu,2022,2196,-1.61,-1.94
Damyean Dotson,2020,836,-0.41,-1.19
Damyean Dotson,2021,907,-3.21,-2.37
Damyean Dotson,2022,21,-0.14,-6.94
Devon Dotson,2021,50,6.35,7.69
Devon Dotson,2022,85,0.31,-1.46
Sekou Doumbouya,2020,754,-5.19,-3.93
Sekou Doumbouya,2021,869,-4.19,-1.72
Sekou Doumbouya,2022,16,3.79,22.71
Jeff Dowtin,2022,108,-6.14,-1.84
PJ Dozier,2020,537,-1.06,-1.68
PJ Dozier,2021,1088,-1.65,2.38
P.J. Dozier,2022,340,-2.64,2.57
Goran Dragic,2020,2216,2.09,-0.5
Goran Dragic,2021,1454,-0.39,-1.07
Goran Dragic,2022,577,-0.25,-0.35
Andre Drummond,2020,1879,-2.44,1.91
Andre Drummond,2021,1347,-1.85,2.35
Andre Drummond,2022,1497,-0.45,2.35
Chris Duarte,2022,1541,-0.76,0.95
